abl,词根：能力
able,/ 5eibl/  能【后缀】表性质、大小状况、状貌
ably,adv. 巧妙地【后缀】表副词，“能…地”
abol,词根：废除
abs,【前缀】离开，离去
ac,【词根】酸的；尖锐的【前缀】＝ad-[用于c，k或q前]
academ,词根：学术
acal,后缀：用以构成的词仅用作形容词，＝-ac
accoutr,词根：dress（穿着）
ace,"/ eis/  n.(纸牌中的)""A""牌，爱司【后缀】表示地点"
acea,后缀:某些动物纲名、目名
aceae,后缀:许多植物科名
aceous,后缀：表形容词，“具有…特征的”
acer,词根：苦， 酸， 尖
acerb,adj. 尖锐的；酸涩的【词根】尖，酸，锐利
acet,【化】 次乙基; 乙酰【词根】sharp，sour尖，酸
acid,/ 5Asid/  a.酸的【词根】酸的；尖锐的
acious,后缀：表形容词，“有特征的，多…的”
acity,后缀：表名词，“有…倾向”
acle,后缀： 表名词，“…物品，状态”
acm,词根：top（顶端）
acou,词根：听，闻
acr,【词根】酸的；尖锐的
acri,词根：表示“尖，酸，锐利”
acro,前缀：表示“最高，顶点，开头” 
act,/ Akt/  表演【词根】行为；行动
acu,词根：表示“尖，酸，锐利”
acy,后缀：表名词，“性质，状态”
ad,/ Ad/  abbr.公元（后）【前缀】表示“向……”之义
add,vi. 加；增加【词根】加
ade,n.果汁饮料【后缀】表示抽象名词
adelph,词根：兄弟
adip,词根：fat（肥）
adjut,词根：assist（帮助）
ado,n. 忙乱【后缀】构成名词，表示“人”，“物”
advant,词根：ahead（前面）
ae,后缀：用于动植物名称后构成动植物科名；构成复数
aeg,词根：山羊，保护、庇护
aem,词根：血
aer,【医】 气压单位【词根】空气；天空
aeri,词根：表示“空气，充气”等
aero,adj.航空的。【词根】表示“空气，充气”等
aesth,词根：发觉
aesthet,【词根】感觉
aestiv,【词根】夏天
af,【前缀】表示动作的开始或结束；转为动词
after,adv. 后来【前缀】表示“在…后面”，“在…以后” 
ag,/ Ag/ a. 农业的【词根】行为；行动【前缀】转为动词
agap,词根：爱
age,/ eidV/  n. 年龄；时代；寿命【后缀】表示抽象名词
agi,词根：表示摇动、行动、驱使、领导、引领等
ago,adv. 以前【词根】引导 
agog,adj. 兴奋的。词根：表示“引导”
agogue,【词根】领导者
agon,n. 斗争；竞赛。词根：表示“挣扎，斗争”
agor,词根：市场
agr,【词根】田野，农田
agri,【词根】田地，农田
agro,n. 暴力行为。 词根：表示“田地，农业”等
ain,【后缀】表示“人”
aire,n. 亚耳河（英国约克郡西部河流）【后缀】表示“人”
al,【词根】滋养【前缀】总的【后缀】表示抽象名词
alacr,词根：swift（迅速）
alb,n. 白麻布圣职衣【词根】表示“白色”
albo,词根：白色， 无色
ald,词根：old（老）
alesc,词根：形成becoming，growing
alex,词根：保护，防卫
alg,adj. 代数学上的【词根】痛苦
algia,后缀：用于构成名词，表示“痛”，“疼痛”
ali,【词根】其他的
alit,词根：形成becoming，growing
ality,后缀：表名词，“状态，性质”
all,/ R:l/  pron.全部；全体【词根】异；其他的
allel,【医】 等位基因， 对偶基因【词根】另一个
allo,adj. 紧密相联的；同分异构的【词根】分歧，不同
ally,n.同盟者。词根：表副词，由  al+ly构成，“…地”
alt,/ Alt/ n. 高音调a. 高音调的【词根】高的
alter,/ 5R:ltE/  v.改变，变更【词根】其他的
altern,"adj. 轮流的；交错的【词根】表示""其他的，改变状态"""
altr,【词根】其他的
altru,词根：other其他，他人
am,/ Am， Em/  上午【词根】喜爱【前缀】不；无
amat,词根：表示“爱，情爱”
amb,【前缀】周围；二者
ambi,【前缀】二，双
ambl,词根：walk行走
amble,vi.缓行， 溜蹄【词根】走
ambul,【词根】行走
amen,/ 5a:5men/n. 祈祷的结束语；赞成【词根】愉快
ami,词根：爱， 喜欢， 爱好
amic,【医】 氨的【词根】friend（朋友）
amin,abbr. 最小声幅【后缀】表“物质”
amoeb,词根：变化
amor,n.爱神丘比特。词根：表示“爱，情爱”
amphi,【前缀】二，双
ampl,【词根】大
ample,/ 5Ampl/  a.充裕的【词根】拿
an,"/ An， En/  一【前缀】无；非；缺乏【后缀】表示""人"""
ana,/ 'B:nE/ n. 言论集， 语录【前缀】表示相似
ance,n. 状态；性质；情况【后缀】表示抽象名词
anch,词根：弯曲
anci,【前缀】在前
anct,词根：表示“神圣”
ancy,【后缀】表示抽象名词
and,conj. 和【后缀】附在动词后构成名词，表示“对象”
andr,前缀：男
andro,n. 穿心莲内酯（中药成分）【词根】男人；男性
ane,后缀：构成名词，表示“烷，烷属烃”
aneity,后缀：表名词，表示“性质，状态”
aneous,后缀：表形容词，表示“…有；…特征的”
ang,【词根】勒死；窒息；尖角
angl,【词根】角
angu,词根：distress（苦恼）
angul,【词根】角
angust,词根：狭窄
anim,【词根】呼吸；心
ank,词根：弯曲
ann,【词根】年
annu,词根：年，一年
ano,词根：上， 后， 再，重新；肛门
ant,/ Ant/  蚂蚁【前缀】在前；相反【后缀】表示“人”
ante,/ 'Anti/ n. 赌注vt. 下赌注【前缀】在前；先前，早于
anth,词根：花 
anthrac,词根：煤
anthrop,【词根】人
anti,n. 反对者【前缀】在前；与post相反；相反；抵抗
antiq,词根：表示“古老”
anx,词根：紧，痛苦
ap,【前缀】远，离，分离
aper,n. 模仿者【词根】打开 
aph,词根：远，离，分离
api,词根：蜜蜂
apic,词根：顶部
apo,【前缀】远，远离
apsis,n. 教堂东端之半圆室【后缀】情况，状态：另见-sis 
apt,/ Apt/  adj. 恰当的【词根】合适的
aqu,【词根】水
aqua,n. 水；溶液【词根】水
aquil,词根：eagie（鹰）
ar,【前缀】转为动词【后缀】表性质、大小状况、状貌
arbit,词根：表示“判断”
arbitr,词根：judge判断
arbor,n. [植] 乔木【词根】树 
arc,/ a:k/  n.弧，弧形物。词根：弓箭
arch,/ a:tF/  n.拱【词根】首领；统治者【前缀】古代
archa,词根：古代的，原始的；古
archae,词根：古
arche,【前缀】主要的
archeo,词根：ancient古代的，原始的
archi,【前缀】原始，旧，原，第一，主要
archy,"adj.拱形的【词根】表示""统治者，统治，主要的"""
arct,词根：北方，熊
ard,【后缀】表示“人”
ardu,词根：difficult（困难）
aren,词根：sand（沙）
arg,n. （函数的）自变量【词根】闪光，白，银
argu,【词根】解释清楚
arian,【后缀】构成形容词或名词
arious,后缀：构成形容词，表示“与…有关的”
arist,前缀：最优越  
aristo,词根：最佳
arithm,词根：数字
arity,后缀：名词后缀，表示情况
arium,后缀：表名词，“地点，场所”
arm,/ a:m/  手臂【词根】武器
arom,词根：apice（香料）
ars,词根：glow，burn灼热，燃烧，热情
art,/ a:t/  美术【词根】技巧；艺术【后缀】表示“人”
arter,词根：pipe（管道）
arteri,词根：动脉
arterio,词根：动脉
arthr,词根：关节
arthro,词根：关节
articul,词根：关节
ary,n. 氩【后缀】表性质、大小状况、状貌
as,/ Az， Ez/  作为【前缀】表示”一再”等加强意
ash,/ AF/  n. 灰；灰烬。词根：燃烧，发光
asin,词根：ass（驴子）
asm,【后缀】表示抽象名词
asper,词根：rough（粗糙）
ass,n. 屁股；驴子；蠢人【后缀】表示抽象名词
ast,后缀：表名词，“…人，物”
aster,/ 'AstE/ n. 紫苑属植物【词根】星星
asthm,词根：panting（喘气）
astic,后缀：形容词后缀，表示“…的”
astr,【词根】星星
astro,"【词根】表示""星星"""
at,/ At， Et/  在…(指时间的某一点)【前缀】转为动词
ate,v.eat的过去式【后缀】表示“人”
athl,词根：竞赛
atic,后缀：表形容词，“有…性质的”
ation,【后缀】构成抽象名词，表示“动作”，“过程”等
ative,后缀：表形容词.“有…倾向（性质）的”
atm,词根：大气，蒸汽
atmo,词根：气 
ator,【后缀】构成抽象名词，表示“做…动作的人”等
atory,后缀:表形容词，'有…性质的';表名词，'场所，地点'
atp,词根：适应，能力
atr,词根：黑色的
atroc,词根：cruel（残酷）
att,词根：能力；倾向；适当的
auc,词根：增加
auct,词根：增加
aud,词根：听
audi,词根：听
audit ,vi. 审计；[审计] 查帐【词根】听
aug,词根：增长；使生长
aur,词根：耳
auri,词根：耳
aus,词根：听
auster,词根：severe（严重的）
austr,词根：aouth（南方）
aut,词根：自己
auth,【前缀】作者
auto,/ 5R:tEu/  n.汽车【词根】自己
aux,词根：增加、增多
auxili,词根：help（帮助）
av,词根：表示“渴望，鸟”
aval,n. 保兑；担保【词根】kownward（向下）
avar,词根：表示“渴望，鸟”
avi,词根：表示“渴望，鸟”
aw,int. 哦！噢！（表示抗议， 厌恶等）【词根】害怕
ax,n. 斧头【词根】轴 
axi,词根：worthy（有价值）
axim,词根：格言，准则
bac,n.用绳子拖的平底渡船【词根】后面
bacteri,词根：细菌
badin,词根：jest（说笑）
bak,词根：热
bal,词根：胀满，包裹，球
balc,词根：门板，粱
ball,"n. 球；舞会【词根】表示""抛，舞，球"""
ban,vt. 禁止，取缔【词根】限制
band,/ bAnd/n.带子， 镶边， 波段， 队， 乐队【词根】捆绑
bapt,词根：浸，泡
bar,/ ba:/n.条；棒【词根】重，压，棒子；障碍
barb,/ bB:d/ n. 倒钩vt. 装倒钩于【词根】胡须
barbar,n. （男）理发员【词根】野蛮的
bard,/ bB:d/ n. 吟游诗人， 诗人【词根】beard（胡子）
barg,词根：船；乞讨;恳求
baro,词根：重，压
barr,【词根】棒子；障碍
bary,词根：重，压
bas,【词根】去，底
bat,/ bAt/n.蝙蝠， 球棒【词根】打；去
bath,/ ba:W/n. 沐浴；浴室；浴盆【词根】deep深，深海的
bathy,词根：深
be,v. 是; 值【词根】居住【前缀】变换为及物动词
beac,词根：火，烤
beat,/ bi:t/vt. 打；打败【词根】blessed（有福的）
bed,/ bed/  床。词根：范围
bel,n. 贝尔（音量比率之单位）【词根】战争；美丽的
bell,/ bel/n. 铃，钟；钟声，铃声【词根】战争；美丽的
belli,词根：战斗，战争
ben,n.内室，起居室【词根】好，做，偏爱，尊敬
bene,n. 祈祷；祝福【前缀】很好；与mal(e)相反
berg,/ bE:g/ n. 冰山【后缀】山；村庄
bev,abbr. 十亿电子伏特【词根】喝
bever,词根：drink（喝）
bey,词根：expect（期待）
bi,【前缀】生命，二
bib,vi. 饮酒，不断地饮酒【词根】喝
bibl,【前缀】书
bibli,词根：book
biblio,【词根】书
bid,/ bid/v.说（问候的话等）。词根：信任；命令
bil,词根：强壮的strong
bili,词根：表示“能力”
bin,/ bin/n. 箱子，容器；二进制【前缀】双；二
bine,n. 蔓；蔓生植物【词根】捆
bio,n. 个人简历，小传【词根】生命
bir,词根：携带，带，拿
bit,/ bit/n.一点儿。词根：撕，咬。
bl,准词根：吹风；颜色
bla,词根：光，亮，燃烧
blan,词根：空白的
blanc,n. 白【词根】白色
blas,词根：bamage（毁坏）
blast,/ bla:st/ n. 爆炸；冲击波【词根】胚
blasto,词根：胚，芽
blaz,词根：火焰
ble,词根：光，亮，燃烧
blea,词根：空白的
blem,【词根】问题；投掷，扔掷
bli,词根：光，亮，燃烧
blo,词根：光，亮，燃烧
blu,词根：光，亮，燃烧
bod,词根：告知，使明白;预兆
boist,词根：爆发，突然迸发，热闹
bol,词根：抛，舞，球，投
bon,【前缀】很好
bond,/ bRnd/n.联结，联系；公债，债券【词根】捆绑
bor,词根：藏，保护;割，刺，钻
bord,词根：side（边）
borough,/ 'bE:rEu/ n. 自治的市镇， 区【词根】气管
bosc,词根：feed（喂）
bot,词根：植物；短棍
botan,词根：erb（草）
bouch,词根：mouth（嘴）
bound,vi. 限制；弹起【词根】限制
bov,词根：ox（牛）
bow,/ bau/v.鞠躬；点头；弯腰。词根：弯，逃跑
br,准词根：破碎，分裂，产生
brac,词根：短，手臂
brace,n. 支柱【词根】两臂
brach,/ brAtF/ n. 雌猎犬【词根】arm臂
brachy,词根：short短
brack,词根：vomit（呕）
brad,n. [建] 曲头钉【词根】摩擦;广阔的
brady,词根：slow缓慢
bran,/ brAn/ n. 糠， 麸【词根】燃烧；烙印
braz,词根：铜
bre,词根：短的
brev,【词根】短的
brevi,【词根】短的
bri,词根：短
bridg,词根：表示“短，缩短”
brief,adj. 简短的，简洁的【词根】短
brig,n. 双桅横帆船【词根】战斗，打
bris,词根：破裂，折，断
broch,词根：pierce（刺，缝）
bron,词根：铜
bronch,前缀：支气管
brut,词根：兽
bry,词根：sprout（发芽）
bryo,词根：膨胀的
bu,词根：表示“牛”;存在，生长，居住
buf,词根：牛
bul,词根：胀满，包裹，球
bulg,词根：袋；膨大
bull,/ bul/ n. 公牛【词根】煮沸boil，seal
bund,n. 堤岸；码头；同盟【词根】绑，捆
bur,n. 刺果【词根】火；藏，保护
burl,/ bE:l/ n. 节， 树节， 树瘤【词根】mockery（嘲笑）
burs,【词根】袋；囊
but,/ bQt/conj. 但是；而是；然而。词根：牛
by,/ bai/ 通过；经过【前缀】副，次要的；附近
bys,词根：尽头end，bottom
byss,词根：borrom（底）
cab,/ kAb/n.出租马车、汽车。词根：头
cac,词根：恶
caco,【前缀】坏的；不好的
cad,/ kAd/ n. 卑鄙的男人， 下流人， 无赖【词根】落下
cade,n. 杜松【后缀】队伍，行列
cal,词根：beautiful（美丽）
calam,词根：misfortune（不幸）
calc,【计】 计算【词根】石，小石子，计算
calcul,词根：石，计算
cale,词根：heat热
calend,词根：first day（每月第一天）
call,/ kR:l/vi. 呼叫；拜访；叫牌【词根】硬皮
calli,词根：美
calor,【词根】热
calori,词根：热，热的
cam,n. 凸轮【词根】遮盖，室
camb,词根：睡，卧，躺
camer,词根：房间
camera,/ 'kAmErE/ n. 照相机， 摄影机， 密谈室【词根】房间
camp,/ kAmp/n. 露营  vi. 露营；扎营【词根】田野；原野
can,/ kAn/n.罐头， 铁罐。词根：知道；管，小容器
cand,n. 萤石【词根】白色的；光亮的
cant,/ kAnt/n.伪善之言， 黑话， 隐语， 斜面【词根】唱歌
cap,/ kAp/n.帽子【词根】头；拿；捉住
capill,词根：毛发
capit,词根：头
capr,词根：山羊
caps,词根：容器，盒子
capt,词根：表示“拿，抓，握住”
car,/ ka:/n. 汽车；车厢【词根】车；跑
carb,词根：碳
carcer,词根：监狱 
card,n. 卡片；纸牌【词根】心
cardi,词根：心
cari,词根：腐烂
caric,词根：load（过分）
carn,n. 堆石标记；肉【词根】肉
carp,/ kB:p/n.鲤鱼;vi.吹毛求疵【词根】果实
carpo,词根：果实
carstin,词根：明天
cart,n. 二轮运货马车【词根】车，纸
carv,词根：写，画，划
cas,【词根】落下
cast,/ ka:st/vi.投掷；投射；抛【词根】投掷
cat,/ kAt/n.猫【前缀】下面
cata,n. 渺位【前缀】下面
caten,词根：chain（链）
cath,词根：泄、通
cathar,词根：pure（纯洁）
cathol,词根：general（普通的）
cau,词根：烧，热
caud,词根：尾部
caul,/ kR:l/ n. [胚] 胎膜；大网膜【词根】stem（根，杆）
caus,词根：原因，砍，击
cause,/ kR:z/n.原因， 导致某事发生的人或事【词根】理由
caust,词根：bun（烧）
caut,【词根】燃烧;听，看，注意
cav,【词根】中空的
caval,【医】 腔静脉的【词根】horse（马）
cay,/ kei/ n. 沙礁， 珊瑚礁， 沙洲【词根】fall降落
ce,【后缀】表示抽象名词
ceal,词根：遮盖，隐藏
ceas,词根：走；停止
ced,【词根】行走
cede,vt.放弃【词根】走；让步
ceed,【词根】走；让步
ceipt,【词根】拿，抓，握住
ceit,词根：抓，取
ceiv,词根：抓，取
ceive,【词根】拿，抓，握住
cel,动画序列中的单帧【词根】天空【后缀】表小称或“缩小”
cele,后缀：表示“腔”，“瘤”，“肿”，“膨出”，“疝”
celebr,词根：honor（荣誉）
celer,【词根】快速的
celib,词根：single（单个）
cell,/ sel/n. 细胞；电池【词根】小房间；隐藏
cem,词根：躺，床，家，城市
cen,词根：白，白热，发光
cend,词根：白，白热，火光；爬
cens,词根：判断，评价;闪光，白
cent,/ sent/n. 分；一分的硬币【词根】百；唱歌
centi,n. 厘；百分之一【前缀】百，百分之一
centr,【词根】中心
centri,词根：中心
cep,词根：拿
cephal,词根：头
cept,【词根】拿，抓，握住
cer,n. 陶瓷【词根】硬
ceram,词根：earth（陶土）
cerebr,【词根】脑
cern,【词根】分开，放，搞清，区别
cerpt,【词根】拿
cert,/ sE:t/ n. 必然的事情【词根】确定的
certi,词根：确凿，可靠;信誉，信用
ces,词根：行走
cess,/ ses/ n. 地方税， 土地税， 特种税【词根】走；让步
cest,词根：行走，前进；纯洁
chal,词根：叫喊；要求；小石
chame,词根：ground（地）
chand,词根：蜡烛；火，光，热
chann,词根：管，小容器
chans,词根：歌唱；下降；降落；天意
chant,/ tFa:nt/ vi. 唱歌；反覆地唱歌【词根】唱歌
chap,/ tFAp/  n.男人；小伙子；家伙【词根】头，首，冠
char,vi. 烧焦；打杂【词根】车，跑;喜欢，渴望
chara,vi. 烧焦；打杂【词根】性质;磨，擦，刮，涂
charg,词根：装载
chart,n. 图表；海图；图纸【词根】纸
chast,【词根】纯洁的
cheir,词根：hand手
chem,【词根】化学
chemico,词根：chemitry化学
chemo,n. 化疗（等于chemotherapy）；化学疗法【词根】化学
cher,词根：喜欢，渴望
chiev,词根：头
chil,词根：冷，冻
chili,n. 干辣椒， 辣椒粉【前缀】千
chir,【词根】手
chiro,n.海鲢【词根】手
chis,词根：挖；切
chival,词根：马匹
chlor,词根：绿 
chloro,词根：氯，绿
choic,词根：尝，选
chok,词根：契合，塞住
chol,词根：黄色，发光
chondr,词根：cartilage（软骨）
choos,词根：尝，选
chor,词根：表示“歌，舞”
chri,词根：磨，擦，刮，涂
chro,词根：颜色
chrom,词根：表示“颜色”
chromat,词根：铬，颜色，色素
chron,【词根】时间
chrys,词根：黄色;金
chtys,词根：golden（金色）
cian,后缀：表示人的职业
cid,【词根】落下
cide,【词根】切割;杀
cil,词根：喊，回响，召唤，清楚；表示“召集”
cili,词根：眼皮eyelid
cin,词根：激起，唤起
cinct,【词根】绑；环绕
cine,n. 电影【词根】运动
cinemat,词根：film电影
ciner,词根：ash（灰）
cintamin,词根：pollute（污染）
cip,【词根】拿
cipit,词根：表示“头”
cir,词根：圆，环
circ,【计】 广义圈【词根】圆；环
circu,【前缀】环绕；在…周围
circum,n. 环绕，周围【前缀】周围，环绕
cirl,词根：环绕，周围
cirr,词根：触毛，卷须，卷云
cirro,词根：触毛，卷须，卷云
cis,【词根】切
cise,【词根】切割
cist,/ sist/ n. 石棺， 墓窖， 圣器箱【词根】box（盒子）
cit,n. 市民【词根】召唤
cite,/ sait/vt.引用， 引证， 提名表扬【词根】召唤；驱策
citr,词根：柠檬，柑橘
civ,【词根】市民
civi,【词根】公民
cl,词根：粘，连，球，块，抓
cla,词根：喊，回响，召唤，清楚
claim,/ kleim/  n.(据权利提出的)要求【词根】大叫
clair,词根：表示“清楚，明白”
clam,/ klAm/n. 蛤；沉默寡言的人；钳子【词根】大叫
clandestin,词根：secret（秘密）
clar,【词根】清楚的；清澈的
claus,【词根】关闭
clav,词根：钥匙key
cle,【后缀】表小称或“缩小”
cleav,词根：分离；粘住
clen,【词根】倾斜
cli,词根：lean倾，斜
clim,【词根】气候；顶点
clin,【词根】倾斜，弯曲
cliv,词根：表示“倾斜，斜坡”
clois,词根：关闭
clos,adv. 秘密地【词根】关闭
close,/ klEuz， klEus/  关；关上【词根】关闭
clud,【词根】关闭
clus,【词根】关闭
clys,词根：dash（猛冲）
cmul,词根：heap（堆积）
co,【前缀】一起；共同；联合
coars,词根：跑，发生
coc,词根：煮
coct,【词根】烹调
codi,词根：法典
cog,n. 钝齿；雄榫【词根】同
cogit,词根：想
cogn,【词根】知道；认识
cognis,【词根】知道；认识
cognit,【词根】知道；认识
col,/ kRl/ n. 出口， 山坳【计】 列【前缀】共同
colis,词根：巨大great
coll,n. 胶原【词根】共同；脖领，领子
colon,/ 5koulEn/  n.冒号【词根】栖息
coloss,词根：巨大great
com,【前缀】 表示“一起”、“共同”、“完全”
combus,词根：燃烧
comit,词根：伴随accompany
commod,词根：方便
commun,【词根】共同的
con,"/ kRn/vt. 精读；默记【前缀】表示""共同"""
conch,/ kRNk/ n. 海螺壳【词根】贝壳
cond,n. 气孔导度；电导率 【词根】表示“藏”
contr,词根：反对，相反
contra,/ 'kRntrE/ n. 反对， 相反【前缀】反对；逆
contro,【前缀】反对；逆
cop,/ kRp/n.巡警【词根】abundance（丰富）
copi,词根：充裕，丰富
copr,词根：粪
copul,词根：结合
cor,【医】 心脏， 心【词根】心【前缀】一同，合并
cord,/ kR:d/n. 绳索；束缚【词根】心
cori,词根：skin（皮）
corn,n. （美）玉米【词根】角
coron,词根：冠状
corp,【经】 公司【词根】身体
corpor,【词根】体
corrig,词根：correct（改正）
cort,词根：公正的;正当的
corusc,词根：glitter（发光）
cosm,【词根】宇宙；次序
cosmet,词根：美丽
cosmo,词根：世界，宇宙
cost,vi. 花费【词根】习惯
coun,【前缀】国家，全
count,/ kaunt/v.数(数目)，点计(数)【词根】数；计算
counter,/ 5kauntE/  n.柜台【前缀】反对；逆
countrer,前缀:反对，相反
coup,/ 'ku:/ n. 砰然的一击， 妙计【词根】切割
cour,【词根】心；跑
cours,"词根：表示“跑，发生”"""
cover,/ 5kQvE/n. 封面，封皮；盖子；掩蔽物【词根】覆盖
cow,/ kau/n.奶牛。词根：牛
cr,准词根：叫喊；爬行
cra,词根：混，煮
cracy,【词根】统治；权利
cran,词根：弯，扭
crani,词根：头颅
cranio,词根：头脑 
cras,词根：mixing（混合）
crastin,词根：tomorrow（明天）
crat,【词根】统治
crav,词根：工艺，技艺，力
cre,【词根】制造；生长;放
crea,词根：创造，增长，产生
creas,"词根：表示“增长，产生”"""
crease,"n. 折痕【词根】表示“增长，产生”"""
creat,词根：生长
cred,n. 街头信誉【词根】相信
creet,词根：搞清，区别
crep,词根：出声rattle
crepit,词根：burst（爆裂）
cresc,【词根】制造；生长
