abl,词根：能力
nupti,词根：wedding（婚礼）
nur,词根：滋养，养
nurs,词根：滋养，营养
nurt,词根：滋养，营养
nutr,【词根】营养
nutri,【词根】营养
nutrit,【词根】营养
nym,词根：名
o,【前缀】对； 向； 相反； 反对
ob,【前缀】对； 向； 相反； 反对
obed,词根：obey（服从）
obes,词根：fat（肥）
obliv,词根：forget（忘记）
obsol,词根：decay（腐烂）
oc,【前缀】对； 向； 相反； 反对
ock,【后缀】表小称或“缩小”
oct,【前缀】八
octa,【前缀】八
octav,【前缀】八
octo,【前缀】八分
ocul,【词根】眼睛
oculo,词根：eye眼
od,n.自然力【词根】歌曲;路
ode,/ EJd/n.颂诗，赋【词根】歌曲；诗歌
odi,词根：hate（恨）
odont,词根：牙
odor,/ 5EudE/  n.气味【词根】气味；闻
odyn,词根：pain（痛）
of,/ Rv， Ev/  prep…….的【前缀】向
oid,【后缀】表示“像…的”，“似…的”
oidal,后缀：形容词后缀，表示“…形状的”
oint,词根：油
ol,【词根】滋养；气味，闻
ole,词根：oil（油）
olesc,词根：形成becoming，growing
oleum,/ 'EuliEm/ n. 发烟硫酸【词根】油
olfact,词根：scent（味）
olig,词根：少
oligo,词根：很少
oll,词根：neck（脖子）
ology,词根：学科
oma,后缀:表示“瘤”
ombro,【前缀】雨
omin,【词根】预兆
omni,【前缀】全部
omphal,词根：脐
on,/ Rn/  在…上面【后缀】表示人、物；构成物理学名词
one,n.  一; 一个人【后缀】表示“酮”
oneir,词根：dream梦
oner,词根：负担
onom,词根：名字
onto,/ 5Rntu/prep.在…上面；到…上面【词根】个体
onym,【医】 术语【词根】名字
oo,【词根】蛋；卵
oon,后缀：表名词，“人或物”
op,n.工作，操作【前缀】向;相对
oper,【词根】工作；做
ophi,词根：snake蛇
ophio,词根：蛇
ophthalm,前缀：眼  
opi,词根：视，光；观点
opin,【词根】看
opl,词根：armor（盔甲）
ops,词根：sight，light视，光
opt,/ Rpt/  v.选择【词根】选择；希望；眼睛；视力
optim,词根：表示“最好”
opto,【词根】眼睛；视力
or,/ R:， E/  conj.或者，还是【后缀】表示抽象名词
ora,【医】 缘， 口【词根】说；祷告
oram,词根：景
orama,词根：视力
orat,"词根：表示“嘴，说”"""
orb,/ R:b/ n. 球， 天体【词根】圆circle，track
orbit,n.  轨道， 眼眶【词根】圆 
ord,【词根】秩序，拼凑，适合，连接，接合
order,/ 5R:dE/  点菜【词根】秩序
ordin,【词根】秩序
org,词根：做，工作，功，工具
organ,n. 器官；机构；风琴【词根】身体
ori,【词根】太阳升起；上升；开始；起源
orig,"词根：表示“升起，开始”"""
orium,后缀：名词后缀，表示“地方、器具、工具、手段”
orn,【词根】装饰；使配备家具
orna,【词根】装饰；使配备家具
ornith,词根：bird（鸟）
ornitho,词根：鸟
oro,词根：口
orot,词根：洪亮的，圆润的
orph,词根：出去
ort,【词根】升起
orth,词根：直
ortho,【词根】直的；正确的；正
ory,【后缀】表性质、大小状况、状貌
os,/ Rs/ n. 骨， 孔， 穴裂口【词根】口， 嘴
oscill,词根：swing摆动
oscul,词根：kiss（吻）
ose,后缀：表形容词，“多…的”
osis,【后缀】构成名词
osity,后缀：表名词，ose+ity组成，表示“多…的状态”
oss,【词根】骨头
ost,词根：骨
oste,前缀：骨  
ostens,词根：appear（出现）
osteo,【词根】骨头
ostrac,词根：tile（瓦片）
ot,词根：表示“耳朵”
otic,后缀：形容词后缀，表示“状态的、作用的、过程的”等
ound,词根:wave(波浪)
our,/ 5auE/  我们的【后缀】表示抽象名词
ous,【后缀】表性质、大小状况、状貌
ously,后缀:副词，具有…性质的等
out,/ aut/prep. 向；离去 【前缀】超过；外，向外
ov,【词根】蛋；卵
ovari,词根：卵巢
over,/ 5EuvE/adv. 结束；越过【前缀】过度；在……上面
ovo,【医】 卵， 蛋【词根】卵，蛋
own,/ Eun/  自己的;词根：拥有
ox,【词根】氧
oxy,【词根】氧
pac,【词根】和平
pachy,词根：thick（厚）
paci,【词根】和平，平静
pact,/ pAkt/n.协定，条约【词根】同意；系紧
pad,/ pAd/n.垫子，便笺薄【词根】踏，走，去
paed,词根：child儿童
pag,词根：固定
paht,【词根】疾病，疗法
pair,【词根】产生，获得，准备，装配
pal,/ pAl/  n.(口)好朋友；同志。【词根】紧，固，约定
pale,/ peil/adj. 苍白的；无力的；暗淡的【词根】旧，古
paleo,词根：表示:”古，旧”
pali,词根：再次
pall,/ pR:l/ n. 棺罩，vi.  乏味【词根】苍白pale
palp,/ pAlp/ n. 触须， 须肢【词根】接触touch
pan,/ pAn/n.平底锅【词根】面包【前缀】全；所有的
pand,【词根】展开， 伸展，膨胀
pans,【词根】展开， 伸展
panto,n. 哑剧， 童话剧， 舞剧【前缀】全，每，所有的
pap,/ pAp/ n. 奶头， 乳头状物， 软食【词根】爸爸
par,n. 标准【词根】准备；相等的；出现；生【前缀】完全
para,n.  伞兵【前缀】表示“半，类似，辅助”等
pare,v.  剥， 修【词根】安排， 装配， 二
parl,【词根】说，谈
part,/ pa:t/n.部分， 局部， 零件， 角色【词根】部分；分开
parti,n.  理想配偶【词根】部分；分开
pass,n. 及格；经过；护照；途径【词根】通过；忍受
passi,【词根】受苦；感情
past,/ past/prep.(时间)超过【词根】食物，喂养，保护
pat,n.轻拍。【词根】忍受，感情，伤害;步，走步，伸
pater,n.  父亲【词根】父，祖
path,/ pa:W/n. 道路；小路；轨道【词根】受苦；感情
pathy,词根：受苦；感情
pati,词根：受苦；感情
patr,词根：父
patri,词根：父
patro,词根：父
paus,词根：停止
pay,/ pei/v.付钱；支付。【词根】紧，固，牢，约定
peac,词根：紧，固，牢，约定
pear,n. 梨树；梨子【词根】出现
peas,词根：和平的，同意的
peat,n. 泥煤，泥煤块【词根】追求，冲，飞
pec,【词根】斑点;自己
pecc,词根：惩罚，罪
pecu,词根：钱
ped,【词根】脚；小孩
pedi,词根：foot脚
pedo,词根：小孩
pel,【计】 象素【词根】驱动；驱赶【前缀】完全；彻底
pelag,词根：海
pen,n. 围栏， 钢笔， 作家【词根】处罚【前缀】几乎；近乎
pend,/ pend/ vi. 悬而未决， 待定【词根】悬挂；衡量
penn,词根：羽毛
pens,钢笔(复数)【词根】悬挂；衡量
pent,a. 被关禁的， 被关起来的n. 单斜顶棚【词根】道歉
penta,【前缀】五
peps,【词根】消化
pept,【词根】消化
per,/ pE:/  prep. 每；每一；按照【前缀】完全；彻底
peri,n. 美丽仙女【词根】通过；尝试【前缀】周围；环绕
pers,词根：个人，个人财产，特有的
pess,词根：毁灭，沉沦
pet,/ pet/vi.拥抱， 爱抚， 生气， 发脾气【词根】飞；寻求
petit,【法】 小的， 轻的【词根】寻求
petr,词根：石头
petri,词根：石头
petro,词根：石头
ph,词根：说
pha,词根：说
phag,【词根】吃
phage,n.  噬菌【词根】吃
phagia,后缀:表示“食”  
phall,词根：阴茎
phan,【医】 表象， 显象【词根】出现；显现
phant,词根：出现；显现
pharmac,词根：药
phas,词根：光，显示
phat,词根：光，显示
phe,【词根】声音；说
phem,词根：speech（讲话）
phen,词根：光，显示
pher,词根：bring（带来）
phil,【词根】爱
philo,【词根】爱
phlegma,词根：冷淡，痰
phob,【词根】怕
phobe,后缀:构成抽象名词，表示“恐惧”等  
phobia,n. 恐怖病，恐怖症【词根】恐惧
phon,/ fRn/ n. 方(响度级的单位)【词根】声音；说
phone,n.  电话; 听筒【后缀】表示“语言” 
phor,词根：表示“带来”
phoresis,后缀：表示“移动”，“传递”
phos,词根：光 
phosph,词根：磷，磷光
phot,n.  辐透【词根】光 
photo,/ 5fEutEu/  照片【词根】光
phras,词根：想
phren,【医】 膈， 精神， 意志【词根】心；精神
phu,词根：说say，speak
phy,词根：存在，生长，居住
phyl,词根：种族
phyll,词根：叶
phyllo,前缀：叶 
phylo,前缀：种族；民族；人种
phys,【词根】自然
physi,【词根】自然
phyt,【词根】植物
phyte,后缀:表示“…植物”  
pi,n. 圆周率【词根】忠诚，献身；神圣
pian,词根：轻柔
pico,词根：百万兆分之一
pict,【词根】绘画；图画
piec,词根：片，块，小
pig,/ pig/n.猪【词根】paint画，描绘
pil,【词根】毛发；柱【前缀】完全；彻底
pilf,词根：偷，掠夺
ping,/ piN/ n. 砰(子弹击中时的声音)【词根】fasten（系紧）
pinn,词根：羽毛
pir,【词根】通过;尝试;经历;试验，冒险
pisc,词根：表示“鱼”
pisci,词根：鱼
pit,/ pit/n. 矿井；深坑；陷阱。词根：肥，胀
pl,词根：充满；折
pla,【词根】平，伸展，宽;折
plac,【词根】取悦;高兴；镇定，安慰
plag,词根：悲，打击 
plagi,词根：歪，斜
plain,/ plein/  adj.平常的；普通的【词根】搥胸悲痛
plaint,/ pleint /n. 感叹；诉苦；悲叹【词根】搥胸悲痛
plais,词根：安慰
plan,n. 计划；平面图【词根】平易，简单
plani,词根：flat，clear平坦，清楚
plant,/ pla:nt/vt. 种植；培养；栽培【词根】植物；种植
plas,【词根】形成
plasm,后缀:表示“形成物”等意义的复合用语  
plasma,后缀：名词后缀，表示“形状物”
plast,【词根】形成
plat,n.  辫子【词根】平，伸展，宽
plaud,【词根】打击；拍手
plaus,词根：拍手，鼓掌
ple,【词根】使充满；充满的；折叠
pleas,【词根】取悦
pleb,词根：people（人们）
pledg,词根：参加，保证
pleg,词根：麻痹
plen,【词根】使充满；充满的
plent,词根：充满，完全
pleo,词根：plenty多
plet,【词根】充满
plete,【词根】使充满；充满的
pleth,词根：crowdx（挤，多）
plex,【计】 丛【词根】重叠，重
pli,【词根】使充满；充满的；折叠
plic,【词根】使充满；充满的；折叠
plo,【词根】折
plod,n. 沉重的步伐，辛勤工作 【词根】大声
plode,【词根】打击；拍手
ploit,词根：use使用
plor,【词根】流出；流泪
plore,【词根】流出；流泪
plos,【词根】爆炸
ploy,n. 活动(手法)【词根】折叠；使充满；充满的
plu,词根：更多的;满
plum,/ plQm/n. 李子；梅子；洋李【词根】feather（羽毛）
plur,【词根】更多的
plus,/ plQs/  加上【词根】更多的
plut,词根：财富 
pluto,n. 冥王；冥王星【词根】财
ply,vt.（娴熟地）使用【词根】折叠；使充满；充满的
pne,词根：肺；呼吸
pnea,后缀：名词后缀，表示“呼吸”
pneum,【词根】呼吸；肺
pneuma,n.  精神; 灵魂【词根】呼吸；肺
pneumon,【词根】呼吸；肺
po,词根：小，少
pock,/ pRk/ n. 痘疮， 麻子【词根】袋
pod,/ pRd/n.蚕茧；豆荚 v.剥掉(豆荚)【词根】脚
poe,词根：做诗，创造
point,vi. 表明；指向 n. 要点【词根】刺;(突出之)点
pois,词根：喝
pol,【词根】柱；城市，国家，政治
pold,词根：表示“大声音”
poli,【词根】都市；国家
polic,【词根】都市；国家
polis,古希腊城邦【词根】城市
polit,【词根】都市；国家
politic,a. 精明的，圆滑的，慎重的【词根】politice政治
poly,n.  多【前缀】许多
pom,n. 波美拉尼亚种小狗， 砰的一声【词根】水果， 苹果
pon,【词根】放
pond,n. 池塘【词根】 围，圈；悬挂
pont,词根：桥
pop,n.  砰的一声【词根】民众；人
popul,【词根】民众；人
porc,词根：表示“猪”
port,n.港口， 舱门， 左舷， 避风港【词根】运送;大门;部分
portat,词根：运
portion,/ 'pR:FEn/ vt. 分配【词根】分配share
portun,【词根】大门
pos,【词根】放；力量，能力，能
posit,v. 假定，认为【词根】put放，放置
poss,可能的【词根】能力
post,/ pEust/n.邮件，邮政，邮寄【前缀】在……后面；在后
poster,/ 5pEustE/n. 海报，广告；招贴【词根】后
postul,词根：demand（要求）
pot,/ pRt/n. 罐；壶；盆；锅【词根】喝；力量，能力，能
potam,词根：江 
poten,词根：表示“有力的”
potent,/ 5pEutEnt/  a.(药等)有效力的【词根】能，强有力的
poul,词根：鸟，飞禽
pound,/ paund/n.磅， 英镑， 重击， 鱼塘【词根】放
pover,词根：贫穷的poor
pow,n.脑袋，乒【词根】强大的；有…能力的
pr,【前缀】为了…；代替…；赞成…
pract,【词根】做
prag,词根：行动，动作，做，作
pragm,【词根】做
prais,【词根】价格；价值
prav,词根：正确
pre,【前缀】超过；在……前面；前面
prec,【词根】价值，价格，交易，卖
preci,词根：价值，价格
pred,【词根】抢夺，掠夺；战利品
preda,【词根】捕食；掠夺词根：
pregn,词根：拿住
prehend,【词根】抓住，掌握
prehens,【词根】抓住，掌握
prem,【词根】第一的
presby,词根：老
press,/ pres/n.压， 按， 印刷， 压力， 拥挤【词根】压
pret,词根：价值，价格，交易，卖
preter,【前缀】表示“超过”之义
pri,词根：前，早，通过
pric,词根：价值，价格，交易，卖
prim,/ prim/adj.整洁的，一本正经的【词根】第一的
prime,n.  最初， 初期【词根】第一的
prin,【词根】第一的;前
pris,【词根】抓住
priv,【词根】私人的；自己；剥脱
priz,词根：价值，价格，交易，卖
pro,adv.赞成的观点（常用复数形式）【前缀】向前；前面
proach,【词根】接近
prob,【词根】测验；试验;检查
prol,词根：表示“后代，子孙”
proli,词根：offspring后裔，子孙
proof,n. 证据；证物；证明【后缀】表示防...的，不透...的
prop,词根：自己的
proper,adj.合适的，适宜的【词根】适当的；自己的
propr,词根：自已；拥有；恰当的
propri,【词根】适当的；自己的
pros,前缀：“向”，“靠近”;“在前面”，“此外”
prot,【前缀】最…的；最初的；原始的；pro的最高级
prote,前缀： 蛋白
proter,前缀：先  
proto,【计】 原型， 样机【前缀】最…的；最初的；原始的
prov,【词根】测验；试验；检查
prox,词根：接近near
proxim,【词根】接近
pseud,【前缀】假的
pseudo,adj.假的【前缀】假的
psych,/ saik/ vt. 精神分析治疗， 【词根】灵魂；心智
psycho,"a. 心理学上的 
n. 心理学【词根】灵魂；心智"
pter,词根：翅
pto,【词根】落下
ptosis,后缀：名词后缀，表示“下垂”
pu,词根：小，少
pub,/ pQb/ n. 酒馆， 客栈【词根】成熟的；软毛的
publ,【词根】民众；人
pud,/ pQd/ n. (小孩的)手， 前脚【词根】感到羞愧
pudi,词根：感到羞耻
puer,词根：boy（男孩）
pugn,【词根】打架；争吵
pul,词根：粉
pulchr,词根：美丽
puls,【词根】驱动；驱赶
pulse,后缀：名词后缀，表示“推”
pulver,词根：dust（灰尘    ）
pun,/ pQn/n.双关语【词根】处罚
punc,词根：尖
punct,【词根】刺;(突出之)点
pung,/ pQN/ n. 箱型雪橇【词根】尖
pur,【词根】纯粹的【前缀】为了…；代替…；赞成…
purg,"【词根】表示""纯洁"""""
purs,词根：钱包
pus,n. 脓；脓汁【词根】脚
pusill,词根：mean（卑微的）
put,/ put/vt. 放；表达；移动；安置；赋予【词根】想
putat,词根：考虑
pute,a. 单纯的【词根】想
putr,词根：表示“腐烂”
pyr,【词根】火
pyro,/ 'pairEu/ n. 焦酚【词根】火
qua,adv.  以...的资格; 作为...【词根】多少，什么
quad,词根：四
quadr,【前缀】四
quadri,【前缀】四
quadru,【前缀】四
quaint,/ kweint/  a.离奇的；有奇趣的【词根】知道
qual,【词根】质量
quant,n. 船桨；数量分析专家；【词根】数量
quar,【词根】四
quarant,词根：forty（四十）
quart,n.  夸脱【词根】四
quasi,/ 5kwB:zi:/  a.半，准【前缀】类似，准
quer,【词根】抱怨;问
ques,词根：询问，寻求
quest,/ kwest/n.寻求【词根】寻求;问
queu,词根：尾，后边；跟随
qui,【词根】冷静的；休息
quie,词根：静
quiet,/ 5kwaiEt/  文静的【词根】rest静
quil,【词根】冷静的；休息
quin,【前缀】五
quinqu,【前缀】五
quint,/ kwint/ n. 五度音程， 五胞胎之一【前缀】五
quinti,【前缀】五
quip,n.  警句【词根】船
quir,【词根】问
quire,n. 纸的一刀【化】 刀【词根】寻求
quis,【词根】问，寻求
quisit,【词根】问，寻求
quit,/ kwit/vt.离开，退出；停止【词根】免除；释放
quo,词根：多少，什么
quot,词根：说；引证，分配
rab,词根：rage（怒）
rabor,词根：表示“力量”
rac,词根：种族，开始，起源
rachi,词根：脊椎(骨)
rad,【词根】刮掉；擦去;剃；辐条
radi,【词根】根；光线
radic,【词根】根
radio,/ 5reidiEu/  n.收音机【前缀】放射、无线电、径向
rag,/ rAg/n.破布，碎布，抹布。词根：破碎，拆散，挖出
rage,n.  狂怒【词根】表示“疯狂”
ram,/ rAm/n.公羊， 撞锤【词根】branch（枝）
rang,v. 包围；成环形（ring的过去式）【词根】排列
range,/ reindV/vi.平行， 延伸， 漫游【词根】排列
rans,前缀：1、横过，越过2、变换，改变，转移
rap,/ rAp/n.（美）（由电子乐器伴奏的）【词根】夺取
rapt,adj.  全神贯注的【词根】抓，捕，夺
rar,【词根】稀，混，煮
ras,【词根】刮掉；擦去
rat,/ rAt/n.鼠【词根】理由；理性；断定；计算
ratio,/ 5reiFiEu/  n.比(率)【词根】理由；理性；断定
rav,【词根】捕，夺
raw,/ rR:/a.未经加工的；词根：粗。
raz,【词根】刮掉；擦去；剃
re,prep. 关于n. 不动产， 房地产【前缀】重新
real,/ riEl/a.真正的；真实的【词根】现实
rec,词根：直的，使变直
rect,【词根】统治，规定，正，直
recti,n.  直肌【词根】变直
red,/ red/  红色(的)【前缀】再次；反复
reg,【词根】统治；国王
regn,词根：reign（ 王朝）
regul,【词根】规律
reig,词根：统治；王
remn,词根：remain（留下）
ren,【前缀】肾
rend,v. 分裂，劈开，强夺【词根】给
rept,【词根】爬行
ress,后缀：表名词，指“女性”，指“物品”
rest,/ rest/n.休息【词根】stay（停留）
ret,/ ret/ vt. 沤软【词根】网
reti,词根：net网
retic,词根：silent（安静）
reticul,词根：net网
retro,【前缀】后退
rever,词根：awe（敬畏）
rhe,词根：flow（流）
rheo,【词根】流动 
rhin,【词根】鼻子
rhiz,【前缀】根 
rhizo,词根：根
rhod,【前缀】玫瑰花 
rhy,词根：流
ric,前缀：指职位，管辖区 
rid,/ rid/v.使摆脱【词根】笑
ridi,词根：笑
rig,/ rig/n. 装备；钻探设备；服装【词根】统治；正直
righ,词根：统治，规定，正，直
right,n.  权利， 正义【词根】统治，规定，正，直
ris,【词根】笑
risi,【词根】笑
rit,【词根】刺
riv,【词根】划，撕，切割
rix,后缀：表示女性
rob,v.  抢劫， 盗取【词根】破，断，裂，抢;力量
robor,词根：strengh力量
rod,/ rRd/n.杆，竿【词根】咬；询问；要求
rog,【词根】问
roga,【词根】问
rol,词根：圆
rom,词根：罗马，浪漫
rop,词根：划，撕，切割
ros,【词根】咬
rostr,词根：鸟嘴；船首
rot,/ rRt/vi.腐烂；堕落【词根】轮子；旋转
rous,词根：唤醒
rrhag,词根：破裂
rrhage,词根：流出，出血，溢流
rrhea,【词根】流
rub,/ rQb/v.摩，擦【词根】红
rud,【词根】天然的；粗糙的
rug,/ rQg/n.小地毯；毛毯。词根：皱;破碎，拆散，挖出
rupt,【词根】破裂
rur,【词根】乡下
rus,【词根】乡下
rust,/ rQst/n.铁锈v.(使)生锈【词根】乡村
ry,【后缀】表总称或集合概念
s,【后缀】副词后缀，表示时间、地点、方式、状态
sab,词根：刀；割断，使分离
sacchar,词根：sugar（糖）
sacr,【词根】神圣的
saf,词根：安全，整，救助
sag,/ sA^/v.松弛， 下陷， 下垂【词根】聪明，知道；品尝
saint,词根：神圣的
sak,词根：找出
sal,/ sB:l/ n. 婆罗双树， 盐【词根】盐；跳；健全的
salu,词根：安全， 健全的
salub,词根：health健全，健康
salut,词根：health健全，健康
salv,词根：表示“救助”
sam,词根：同，一，相似
san,【词根】健全的
sanat,词根：taste（味道）
sanc,词根：神圣的
sanct,词根：神圣的
sangu,【词根】血
sangui,【词根】血
sanguin,【词根】血
sanit,"词根：表示“健康的”"""
sap,n.树液， 体液， 活力， 坑道【词根】聪明；品尝;知道
sarc,词根：肉 
sarco,词根：肉
sat,sit的过去式【词根】充满的;满足
sati,"词根：表示“足够，饱足”"""
satis,【词根】充满的
satur,"词根：表示“足够，饱足”"""
sauc,词根：盐；味道
saul,词根：跳
saur,词根：蜥蜴
sav,词根：安全，整，救助
sc,准词根：切；看
scal,【词根】爬；攀登；切，分
scan,/ skAn/  vt. 浏览；细看；反复察看【词根】爬；攀登
scap,词根：切割，刮，劈，砍，挖
scape,n.  花茎; 羽轴; 触角根; 柱身【后缀】景观
scen,词根：老
scend,n.波浪的推动力【词根】爬；攀登
scens,【词根】爬
scent,n.  气味， 香味【词根】爬
sch,词根：切割；保持，抓，暂停
schis,词根：裂开， 劈开
schiz,词根：裂开， 劈开
schol,【词根】学
sci,【词根】知道
scien,词根：知道
scind,词根：切割cut
scintill,词根：火花
scis,词根：切割cut
scler,词根：stiff硬;巩膜
sclero,词根：硬
scoi,【词根】同伴，社会；联想
scop,n.  吟游诗人【词根】看
scope,n.  范围， 广度， 机会【词根】看
scopy,后缀：名词后缀，表示“看或观察的行为”
scor,词根：切割，刻
scrap,/ skrAp/  n.小片，碎片 vt.废弃【词根】cut切，割
scrib,词根：写
scribe,书法家v. 划线【词根】写
script,n. 脚本；手迹【词根】写
scrut,词根：检查，调查
scue,【词根】安全；脱出，拉开
scul,词根：切分
sculp,词根：雕刻；切开
scur,词根：遮盖
scut,/ skQt/ n. 短尾， 可鄙的家伙【词根】盾
se,【前缀】分离；离开
sec,adj.  无甜味的【词根】跟随；切割
secr,【词根】神
sect,n. 宗派，教派； 学派，党派【词根】切割
secu,【词根】跟随
secut,【词根】跟随
sed,【词根】坐；分开，离开，独
seg,词根：表示切， 割
segn,词根：标记，记号
sel,词根：取，抓
selen,词根：月亮
sem,词根：同，一，相似
sembl,【词根】类似的；相同的
semei,词根：symptom症状，符号
semi,pref.半(大学英语25)【前缀】半
semin,【词根】种子
sen,n.  钱; 仙【词根】老的；存在
sence,词根：存在
sens,【词根】感觉到
sent,v. 送，寄出 vbl. 送，寄出【词根】感觉；存在
seps,词根：腐烂
